gene_symbol	tier	surface_verdict_bucket	papers_found	papers_selected	papers_with_ec	n_filters_evidence	n_det_features	evidence_grade
KCNE5	canonical	surface_yes	165.0	12	9	14	4	direct_single_method
KCNF1	canonical	surface_yes	217.0	6	6	16	4	direct_multi_method
KCNG1	canonical	surface_yes	287.0	3	3	15	6	supportive_but_indirect
KCNG2	likely	surface_yes	158.0	4	3	15	5	supportive_but_indirect
KCNG3	likely	surface_yes	204.0	3	3	15	6	supportive_but_indirect
KCNG4	likely	surface_yes	156.0	12	9	16	7	supportive_but_indirect
KCNH1	canonical	surface_yes	241.0	29	22	20	5	direct_multi_method
KCNH2	canonical	surface_yes	287.0	32	27	19	5	direct_multi_method
KCNH3	likely	surface_yes	177.0	10	8	15	4	direct_multi_method
KCNH4	likely	surface_yes	239.0	5	3	13	4	direct_single_method
KCNH5	likely	surface_yes	202.0	20	11	17	5	direct_multi_method
KCNH6	canonical	surface_yes	265.0	18	15	16	5	direct_multi_method
KCNH7	likely	surface_yes	253.0	12	9	15	5	direct_single_method
KCNH8	likely	surface_yes	288.0	3	2	13	5	weak
KCNJ1	canonical	surface_yes	230.0	28	24	16	6	direct_multi_method
KCNJ10	canonical	surface_yes	282.0	31	22	19	5	direct_multi_method
KCNJ11	canonical	surface_yes	281.0	32	29	19	6	direct_multi_method
KCNJ12	canonical	surface_yes	213.0	20	18	14	6	direct_multi_method
KCNJ13	canonical	surface_yes	233.0	28	25	21	6	direct_multi_method
KCNJ14	canonical	surface_yes	161.0	16	15	18	5	direct_multi_method
KCNJ15	canonical	surface_yes	199.0	24	21	19	5	direct_multi_method
KCNJ16	canonical	surface_yes	198.0	27	24	19	5	direct_multi_method
KCNJ18	likely	surface_yes	126.0	6	5	17	4	direct_single_method
KCNJ2	canonical	surface_yes	267.0	36	32	18	5	direct_multi_method
KCNJ3	canonical	surface_yes	245.0	31	26	20	7	direct_multi_method
KCNJ4	canonical	surface_yes	256.0	24	22	19	6	direct_multi_method
KCNJ5	canonical	surface_yes	291.0	16	13	17	5	direct_multi_method
KCNJ6	canonical	surface_yes	242.0	24	19	18	5	direct_multi_method
KCNJ8	canonical	surface_yes	234.0	41	35	20	5	direct_multi_method
KCNJ9	canonical	surface_yes	315.0	8	8	18	5	direct_multi_method
KCNK1	likely	surface_yes	238.0	32	24	17	5	supportive_but_indirect
KCNK10	canonical	surface_yes	294.0	21	16	16	6	direct_multi_method
KCNK12	likely	surface_yes	154.0	17	11	19	5	direct_multi_method
KCNK13	canonical	surface_yes	167.0	23	17	13	5	direct_multi_method
KCNK15	canonical	surface_yes	200.0	11	8	15	5	direct_single_method
KCNK16	likely	surface_yes	175.0	15	11	15	5	direct_multi_method
KCNK17	canonical	surface_yes	208.0	16	12	14	5	direct_multi_method
KCNK18	canonical	surface_yes	209.0	21	16	17	6	direct_multi_method
KCNK2	canonical	surface_yes	204.0	41	35	17	6	direct_multi_method
KCNK3	canonical	surface_yes	320.0	24	17	18	5	direct_multi_method
KCNK4	canonical	surface_yes	233.0	23	20	18	6	direct_multi_method
KCNK5	canonical	surface_yes	248.0	26	21	17	6	direct_multi_method
KCNK6	likely	surface_yes	226.0	19	18	18	6	supportive_but_indirect
KCNK9	canonical	surface_yes	251.0	33	26	18	5	direct_multi_method
KCNMA1	canonical	surface_yes	260.0	34	26	20	5	direct_multi_method
KCNMB1	canonical	surface_yes	207.0	25	19	20	6	direct_multi_method
KCNMB2	canonical	surface_yes	241.0	17	13	17	5	direct_multi_method
KCNMB3	canonical	surface_yes	220.0	20	12	17	6	direct_multi_method
KCNMB4	likely	surface_yes	191.0	23	17	19	5	direct_multi_method
KCNN1	canonical	surface_yes	275.0	23	21	19	5	direct_multi_method
KCNN2	canonical	surface_yes	240.0	34	32	20	6	direct_multi_method
KCNN3	canonical	surface_yes	277.0	27	20	20	5	direct_multi_method
KCNN4	canonical	surface_yes	282.0	35	33	20	5	direct_multi_method
KCNQ1	canonical	surface_yes	267.0	29	21	17	5	direct_multi_method
KCNQ2	canonical	surface_yes	253.0	30	25	16	5	direct_multi_method
KCNQ3	canonical	surface_yes	242.0	32	26	19	6	direct_multi_method
KCNQ4	canonical	surface_yes	230.0	24	18	17	6	direct_multi_method
KCNQ5	canonical	surface_yes	224.0	27	26	18	5	direct_multi_method
KCNS1	likely	surface_yes	180.0	10	10	17	6	direct_single_method
KCNS2	likely	surface_yes	138.0	5	4	17	5	supportive_but_indirect
KCNS3	canonical	surface_yes	179.0	13	12	17	5	direct_single_method
KCNT1	canonical	surface_yes	268.0	22	16	15	5	direct_multi_method
KCNT2	canonical	surface_yes	239.0	26	21	17	5	direct_multi_method
KCNU1	likely	surface_yes	250.0	16	14	18	3	direct_multi_method
KCNV1	likely	surface_yes	157.0	6	6	16	5	direct_single_method
KCNV2	likely	surface_yes	241.0	10	9	16	6	direct_single_method
KDELR1	low	surface_yes	234.0	15	14	18	5	direct_multi_method
KDR	canonical	surface_yes	336.0	31	28	18	6	direct_multi_method
KEL	likely	surface_yes	279.0	15	12	16	5	direct_multi_method
KIAA0319	canonical	surface_yes	164.0	8	7	18	7	direct_single_method
KIAA0319L	likely	surface_yes	188.0	18	13	17	5	direct_multi_method
KIAA1549L	low	surface_yes	350.0	0	0	11	6	weak
KIAA2013	low	surface_yes	83.0	1	0	11	5	weak
KIDINS220	likely	surface_yes	334.0	4	4	16	4	weak
KIR2DL1	canonical	surface_yes	257.0	42	38	19	5	direct_multi_method
KIR2DL2	canonical	surface_yes	280.0	32	31	16	3	direct_multi_method
KIR2DL3	canonical	surface_yes	286.0	28	25	17	5	direct_multi_method
KIR2DL4	likely	surface_yes	291.0	23	20	21	5	direct_multi_method
KIR2DL5A	canonical	surface_yes	177.0	17	14	16	3	direct_multi_method
KIR2DL5B	likely	surface_yes	190.0	11	9	18	3	direct_multi_method
KIR2DS1	canonical	surface_yes	226.0	28	26	18	3	direct_multi_method
KIR2DS2	likely	surface_yes	242.0	17	15	17	3	direct_multi_method
KIR2DS3	low	surface_yes	176.0	13	12	18	3	conflicting
KIR2DS4	canonical	surface_yes	234.0	25	22	19	4	direct_multi_method
KIR2DS5	likely	surface_yes	187.0	13	12	15	3	direct_multi_method
KIR3DL1	canonical	surface_yes	292.0	25	23	17	5	direct_multi_method
KIR3DL2	canonical	surface_yes	299.0	20	19	16	5	direct_multi_method
KIR3DL3	likely	surface_yes	209.0	11	11	19	4	direct_multi_method
KIR3DS1	likely	surface_yes	194.0	21	18	17	3	direct_multi_method
KIRREL1	canonical	surface_yes	202.0	21	18	22	6	direct_single_method
KIRREL2	likely	surface_yes	185.0	13	10	19	6	supportive_but_indirect
KIRREL3	likely	surface_yes	195.0	13	12	21	6	supportive_but_indirect
KISS1R	canonical	surface_yes	230.0	34	29	20	5	direct_multi_method
KIT	canonical	surface_yes	394.0	10	9	15	6	direct_multi_method
KITLG	canonical	surface_yes	333.0	24	18	19	5	supportive_but_indirect
KL	likely	surface_yes	327.0	16	14	21	6	supportive_but_indirect
KLB	canonical	surface_yes	239.0	27	25	19	4	direct_multi_method
KLK2	canonical	surface_yes	351.0	10	8	15	4	direct_multi_method
KLK8	low	surface_yes	370.0	2	0	15	5	weak
KLRB1	canonical	surface_yes	256.0	35	31	15	4	direct_multi_method
KLRC1	canonical	surface_yes	268.0	36	33	17	5	direct_multi_method
KLRC2	canonical	surface_yes	260.0	32	29	18	5	direct_multi_method
KLRC3	low	surface_yes	202.0	15	15	19	5	conflicting
KLRC4	low	surface_yes	187.0	10	10	16	3	conflicting
KLRD1	canonical	surface_yes	313.0	20	17	19	6	direct_multi_method
KLRF1	canonical	surface_yes	245.0	17	16	15	5	direct_multi_method
KLRF2	likely	surface_yes	74.0	6	6	15	5	direct_multi_method
KLRG1	canonical	surface_yes	312.0	23	21	15	6	direct_multi_method
KLRG2	low	surface_yes	98.0	0	0	11	5	weak
KLRK1	canonical	surface_yes	302.0	39	33	17	5	direct_multi_method
KREMEN1	canonical	surface_yes	199.0	23	21	16	6	direct_multi_method
KREMEN2	canonical	surface_yes	190.0	9	9	20	6	direct_multi_method
KRT1	likely	surface_yes	328.0	9	9	15	4	supportive_but_indirect
KRT10	low	surface_yes	310.0	15	13	14	4	weak
KRT8	likely	surface_yes	346.0	7	7	15	5	supportive_but_indirect
KRTDAP	low	surface_yes	214.0	3	2	14	4	weak
L1CAM	canonical	surface_yes	262.0	34	32	20	6	direct_multi_method
LAD1	low	surface_yes	296.0	4	1	20	3	weak
LAG3	canonical	surface_yes	312.0	30	27	22	6	direct_multi_method
LAIR1	canonical	surface_yes	231.0	38	35	18	4	direct_multi_method
LAMA3	canonical	surface_yes	290.0	14	14	20	5	supportive_but_indirect
LAMP1	likely	surface_yes	338.0	19	14	17	6	direct_multi_method
LAMP2	likely	surface_yes	285.0	23	18	16	6	direct_multi_method
LAMP3	likely	surface_yes	270.0	18	16	18	3	direct_single_method
LAMP5	likely	surface_yes	233.0	5	4	15	6	direct_single_method
LAPTM4B	likely	surface_yes	186.0	11	11	18	5	direct_single_method
LAT	likely	surface_yes	287.0	23	22	15	4	direct_multi_method
LAT2	likely	surface_yes	357.0	10	7	16	4	supportive_but_indirect
LAX1	likely	surface_yes	258.0	6	6	17	4	direct_multi_method
LAYN	canonical	surface_yes	222.0	18	18	17	6	direct_multi_method
LCN6	likely	surface_yes	109.0	8	5	13	5	supportive_but_indirect
LCP1	likely	surface_yes	268.0	6	6	16	5	supportive_but_indirect
LCT	likely	surface_yes	358.0	3	1	15	5	weak
LCTL	likely	surface_yes	192.0	6	6	15	5	supportive_but_indirect
LDLR	canonical	surface_yes	308.0	34	31	22	6	direct_multi_method
LDLRAD1	low	surface_yes	61.0	0	0	12	4	weak
LDLRAD2	low	surface_yes	48.0	1	1	13	4	weak
LDLRAD3	canonical	surface_yes	170.0	12	12	15	5	direct_multi_method
LEPR	canonical	surface_yes	304.0	23	20	19	6	direct_multi_method
LGALS1	likely	surface_yes	295.0	20	20	17	5	supportive_but_indirect
LGALS13	likely	surface_yes	257.0	9	9	16	3	supportive_but_indirect
LGALS16	low	surface_yes	115.0	3	3	13	3	weak
LGALS3	likely	surface_yes	297.0	31	30	21	4	direct_multi_method
LGALS3BP	likely	surface_yes	274.0	25	22	17	5	direct_multi_method
LGALS4	likely	surface_yes	332.0	5	4	18	4	direct_single_method
LGALS7	likely	surface_yes	240.0	24	21	17	4	supportive_but_indirect
LGALS8	likely	surface_yes	218.0	28	27	18	5	supportive_but_indirect
LGALS9	likely	surface_yes	286.0	29	26	18	4	direct_multi_method
LGALS9B	low	surface_yes	116.0	1	0	15	4	weak
LGALS9C	low	surface_yes	159.0	3	1	16	3	weak
LGI1	canonical	surface_yes	272.0	21	18	20	5	direct_multi_method
LGI2	canonical	surface_yes	143.0	6	3	16	4	supportive_but_indirect
LGI3	canonical	surface_yes	136.0	11	9	19	5	supportive_but_indirect
LGI4	canonical	surface_yes	189.0	12	9	21	5	direct_multi_method
LGMN	likely	surface_yes	265.0	32	25	18	6	supportive_but_indirect
LGR4	canonical	surface_yes	219.0	29	25	16	6	direct_multi_method
LGR5	canonical	surface_yes	347.0	25	17	16	6	direct_multi_method
LGR6	canonical	surface_yes	327.0	15	12	17	6	supportive_but_indirect
LGTN	low	surface_yes	184.0	6	5	16	3	supportive_but_indirect
LHCGR	canonical	surface_yes	283.0	26	16	19	6	direct_multi_method
LHFPL1	low	surface_yes	102.0	2	1	14	6	weak
LHFPL2	low	surface_yes	158.0	2	1	15	5	weak
LHFPL3	low	surface_yes	205.0	3	0	16	4	weak
LHFPL4	low	surface_yes	128.0	7	4	16	5	weak
LHFPL5	likely	surface_yes	226.0	14	13	17	4	supportive_but_indirect
LHFPL6	likely	surface_yes	200.0	3	3	17	4	direct_single_method
LIFR	canonical	surface_yes	271.0	33	28	19	5	direct_multi_method
LILRA1	canonical	surface_yes	155.0	14	10	20	5	direct_multi_method
LILRA2	canonical	surface_yes	190.0	19	18	18	5	direct_multi_method
LILRA4	likely	surface_yes	218.0	17	17	18	5	direct_multi_method
LILRA5	canonical	surface_yes	193.0	13	12	19	5	direct_multi_method
LILRA6	likely	surface_yes	200.0	12	6	18	5	direct_multi_method
LILRB1	canonical	surface_yes	266.0	34	33	20	5	direct_multi_method
LILRB2	canonical	surface_yes	226.0	42	39	20	5	direct_multi_method
LILRB3	canonical	surface_yes	221.0	31	29	17	5	direct_multi_method
LILRB4	canonical	surface_yes	276.0	32	30	18	4	direct_multi_method
LILRB5	canonical	surface_yes	142.0	9	7	18	5	direct_multi_method
LIM2	likely	surface_yes	218.0	8	5	17	6	supportive_but_indirect
LIME1	likely	surface_yes	310.0	9	8	17	5	supportive_but_indirect
LINGO1	likely	surface_yes	211.0	17	16	19	6	direct_multi_method
LINGO2	canonical	surface_yes	175.0	11	9	20	5	direct_multi_method
LINGO3	canonical	surface_yes	106.0	3	1	14	5	supportive_but_indirect
LINGO4	low	surface_yes	81.0	2	1	11	5	weak
LIPC	likely	surface_yes	369.0	3	2	15	4	weak
LIPG	canonical	surface_yes	339.0	5	3	17	5	direct_single_method
LIPI	low	surface_yes	223.0	2	0	18	5	weak
LIPJ	uncertain	surface_yes	85.0	1	1	10	3	weak
LMAN2	low	surface_yes	210.0	16	10	19	5	supportive_but_indirect
LMAN2L	low	surface_yes	148.0	12	8	14	6	direct_single_method
LMBR1	low	surface_yes	270.0	1	1	13	7	weak
LMBR1L	canonical	surface_yes	215.0	9	6	13	6	supportive_but_indirect
LMBRD1	low	surface_yes	234.0	15	13	17	5	weak
LMBRD2	canonical	surface_yes	99.0	2	1	11	4	supportive_but_indirect
LMLN	likely	surface_yes	340.0	0	0	13	4	weak
LMTK3	likely	surface_yes	159.0	9	6	17	4	supportive_but_indirect
LNPEP	likely	surface_yes	353.0	11	9	15	6	direct_single_method
LOXL2	canonical	surface_yes	333.0	25	24	17	4	supportive_but_indirect
LOXL4	canonical	surface_yes	223.0	15	14	15	4	supportive_but_indirect
LPAR1	canonical	surface_yes	262.0	35	29	17	6	direct_multi_method
LPAR2	canonical	surface_yes	250.0	29	22	16	5	direct_multi_method
LPAR3	canonical	surface_yes	331.0	24	20	14	5	direct_single_method
LPAR4	canonical	surface_yes	211.0	23	20	16	5	direct_single_method
LPAR5	canonical	surface_yes	198.0	25	21	16	5	direct_multi_method
LPAR6	canonical	surface_yes	238.0	20	16	16	6	direct_single_method
LPL	canonical	surface_yes	318.0	18	18	22	5	direct_single_method
LRCH4	low	surface_yes	222.0	3	1	14	4	weak
LRFN1	likely	surface_yes	121.0	4	2	16	5	supportive_but_indirect
LRFN2	likely	surface_yes	158.0	13	13	20	5	supportive_but_indirect
LRFN3	likely	surface_yes	119.0	9	4	16	5	supportive_but_indirect
LRFN4	canonical	surface_yes	135.0	13	8	18	5	direct_single_method
LRFN5	likely	surface_yes	170.0	11	5	16	5	direct_single_method
LRG1	low	surface_yes	279.0	21	19	17	5	conflicting
LRIG1	canonical	surface_yes	277.0	19	18	16	6	direct_multi_method
LRIG2	canonical	surface_yes	187.0	15	14	18	5	direct_single_method
LRIG3	canonical	surface_yes	189.0	15	14	18	6	supportive_but_indirect
LRIT1	likely	surface_yes	298.0	1	0	17	5	weak
LRIT2	low	surface_yes	95.0	1	0	12	7	weak
LRIT3	likely	surface_yes	172.0	11	11	16	6	supportive_but_indirect
LRP1	canonical	surface_yes	310.0	39	30	20	6	direct_multi_method
LRP10	canonical	surface_yes	180.0	12	9	15	6	supportive_but_indirect
LRP11	likely	surface_yes	148.0	3	1	17	6	weak
LRP12	likely	surface_yes	241.0	4	3	14	6	weak
LRP1B	canonical	surface_yes	273.0	18	12	17	5	direct_multi_method
LRP2	canonical	surface_yes	312.0	33	30	21	5	direct_multi_method
LRP3	likely	surface_yes	159.0	4	3	11	5	weak
LRP4	canonical	surface_yes	254.0	26	20	20	5	direct_multi_method
LRP5	canonical	surface_yes	297.0	28	25	16	5	supportive_but_indirect
LRP6	canonical	surface_yes	280.0	36	33	22	5	direct_multi_method
LRP8	canonical	surface_yes	230.0	33	28	22	6	direct_multi_method
LRRC15	canonical	surface_yes	255.0	30	27	21	6	direct_multi_method
LRRC17	low	surface_yes	176.0	1	1	14	5	weak
LRRC19	likely	surface_yes	97.0	10	7	16	5	supportive_but_indirect
LRRC24	low	surface_yes	84.0	1	0	12	5	weak
LRRC25	likely	surface_yes	233.0	5	5	13	3	supportive_but_indirect
LRRC26	likely	surface_yes	184.0	18	16	21	5	direct_multi_method
LRRC3	low	surface_yes	150.0	3	0	12	4	weak
LRRC32	canonical	surface_yes	242.0	29	29	20	5	direct_multi_method
LRRC37A	low	surface_yes	149.0	5	0	16	4	weak
LRRC37A2	low	surface_yes	116.0	2	0	15	4	weak
LRRC37B	likely	surface_yes	93.0	3	2	19	5	supportive_but_indirect
LRRC38	likely	surface_yes	98.0	4	2	15	5	supportive_but_indirect
LRRC3C	low	surface_yes	64.0	0	0	11	4	weak
LRRC4	likely	surface_yes	192.0	15	12	19	5	direct_single_method
LRRC4B	likely	surface_yes	235.0	9	7	20	5	supportive_but_indirect
LRRC4C	likely	surface_yes	203.0	12	10	19	5	direct_single_method
LRRC51	low	surface_yes	50.0	1	0	15	4	weak
LRRC52	likely	surface_yes	122.0	15	14	17	5	direct_multi_method
LRRC53	uncertain	surface_yes	15.0	0	0	11	3	weak
LRRC55	likely	surface_yes	119.0	5	4	15	5	direct_single_method
LRRC70	low	surface_yes	47.0	2	0	12	3	weak
LRRC8A	canonical	surface_yes	226.0	34	30	18	4	direct_multi_method
LRRC8B	canonical	surface_yes	204.0	25	18	18	4	direct_multi_method
LRRC8C	likely	surface_yes	375.0	5	5	14	4	direct_single_method
LRRC8D	canonical	surface_yes	163.0	26	21	19	4	direct_multi_method
LRRC8E	canonical	surface_yes	155.0	29	27	20	4	direct_multi_method
LRRFIP1	likely	surface_yes	290.0	1	1	18	4	direct_single_method
LRRN1	canonical	surface_yes	187.0	9	8	17	5	direct_multi_method
LRRN2	likely	surface_yes	163.0	4	2	13	5	weak
LRRN3	likely	surface_yes	183.0	4	2	15	5	weak
LRRN4	likely	surface_yes	138.0	4	1	13	5	weak
LRRN4CL	low	surface_yes	77.0	2	1	14	5	weak
LRRTM1	likely	surface_yes	172.0	13	13	19	4	direct_multi_method
LRRTM2	likely	surface_yes	173.0	16	15	17	5	direct_multi_method
LRRTM3	likely	surface_yes	140.0	11	11	16	6	supportive_but_indirect
LRRTM4	likely	surface_yes	169.0	9	9	18	6	supportive_but_indirect
LRTM1	likely	surface_yes	108.0	7	4	16	6	direct_single_method
LRTM2	likely	surface_yes	125.0	3	2	14	5	supportive_but_indirect
LRTM3	low	surface_yes	144.0	4	1	13	2	weak
LSAMP	likely	surface_yes	358.0	3	1	16	6	direct_single_method
LSMEM1	low	surface_yes	65.0	1	1	13	5	weak
LSMEM2	likely	surface_yes	50.0	3	3	14	3	direct_multi_method
LSR	canonical	surface_yes	330.0	8	6	18	5	direct_multi_method
LST1	likely	surface_yes	238.0	12	11	20	4	direct_single_method
LTA	canonical	surface_yes	389.0	2	1	16	5	direct_single_method
LTB	canonical	surface_yes	318.0	13	12	18	6	direct_single_method
LTB4R	canonical	surface_yes	252.0	27	23	17	5	direct_multi_method
LTB4R2	canonical	surface_yes	221.0	27	26	17	5	direct_multi_method
LTBR	canonical	surface_yes	304.0	24	22	14	6	supportive_but_indirect
LTK	likely	surface_yes	273.0	9	6	16	6	supportive_but_indirect
LVRN	canonical	surface_yes	276.0	2	2	17	5	direct_multi_method
LY6D	canonical	surface_yes	243.0	18	15	16	5	direct_single_method
LY6E	canonical	surface_yes	258.0	24	20	17	5	direct_multi_method
LY6G6C	canonical	surface_yes	151.0	6	5	17	4	supportive_but_indirect
LY6G6D	canonical	surface_yes	195.0	12	8	16	5	direct_multi_method
LY6G6F	likely	surface_yes	152.0	9	4	14	6	direct_multi_method
LY6H	canonical	surface_yes	139.0	9	8	21	6	direct_multi_method
LY6K	canonical	surface_yes	192.0	15	12	19	5	direct_single_method
LY6L	likely	surface_yes	24.0	4	0	16	3	weak
LY6S	canonical	surface_yes	192.0	11	1	15	3	supportive_but_indirect
LY75	canonical	surface_yes	247.0	26	26	16	6	direct_multi_method
LY86	likely	surface_yes	309.0	3	3	17	3	direct_single_method
LY9	canonical	surface_yes	195.0	31	30	19	7	direct_multi_method
LY96	canonical	surface_yes	294.0	32	23	21	4	direct_multi_method
LYNX1	canonical	surface_yes	191.0	23	21	19	4	direct_single_method
LYPD1	canonical	surface_yes	243.0	10	7	18	6	direct_single_method
LYPD2	canonical	surface_yes	129.0	4	2	17	5	supportive_but_indirect
LYPD3	canonical	surface_yes	189.0	28	27	22	5	direct_single_method
LYPD4	low	surface_yes	293.0	3	1	13	6	weak
LYPD5	likely	surface_yes	119.0	7	4	17	6	supportive_but_indirect
LYPD6	canonical	surface_yes	137.0	13	12	16	5	supportive_but_indirect
LYPD6B	canonical	surface_yes	147.0	12	8	19	6	supportive_but_indirect
LYPD8	likely	surface_yes	116.0	3	3	16	4	direct_multi_method
LYSMD3	likely	surface_yes	91.0	3	2	14	6	direct_multi_method
LYVE1	canonical	surface_yes	299.0	35	30	21	5	direct_multi_method
LYZL1	low	surface_yes	105.0	4	3	16	4	weak
LYZL4	likely	surface_yes	110.0	8	6	15	4	direct_single_method
LYZL6	likely	surface_yes	95.0	7	6	13	4	supportive_but_indirect
M6PR	likely	surface_yes	241.0	22	20	17	5	direct_multi_method
MADCAM1	likely	surface_yes	240.0	31	26	19	3	direct_multi_method
MADD	low	surface_yes	233.0	11	9	14	4	weak
MAEA	low	surface_yes	301.0	4	4	12	5	weak
MAG	likely	surface_yes	324.0	6	2	16	6	supportive_but_indirect
MAGT1	low	surface_yes	316.0	18	16	17	5	supportive_but_indirect
MAL	likely	surface_yes	364.0	16	13	19	6	direct_multi_method
MAL2	low	surface_yes	210.0	21	21	18	5	direct_single_method
MALL	low	surface_yes	299.0	2	1	18	4	weak
MALRD1	low	surface_yes	174.0	3	3	13	5	weak
MAN2B1	low	surface_yes	254.0	3	1	14	5	weak
MANF	low	surface_yes	317.0	13	9	15	4	weak
MANSC4	low	surface_yes	45.0	0	0	11	6	weak
MAP1B	low	surface_yes	268.0	6	4	15	2	weak
MARCKS	likely	surface_yes	340.0	8	7	16	4	supportive_but_indirect
MARCO	likely	surface_yes	336.0	16	15	17	5	direct_multi_method
MARCOL	low	surface_yes	88.0	0	0	11	2	weak
MARVELD1	low	surface_yes	139.0	3	0	16	4	weak
MARVELD2	likely	surface_yes	264.0	25	22	18	5	supportive_but_indirect
MARVELD3	likely	surface_yes	177.0	17	16	18	5	supportive_but_indirect
MAS1	canonical	surface_yes	342.0	21	19	15	5	direct_single_method
MAS1L	likely	surface_yes	272.0	7	4	13	4	direct_single_method
MC1R	canonical	surface_yes	277.0	27	19	17	5	direct_multi_method
MC2R	likely	surface_yes	322.0	6	4	15	5	weak
MC3R	canonical	surface_yes	282.0	21	19	15	5	direct_multi_method
MC4R	canonical	surface_yes	339.0	24	22	20	5	direct_multi_method
MC5R	canonical	surface_yes	263.0	23	16	16	5	direct_multi_method
MCAM	canonical	surface_yes	313.0	31	30	18	6	direct_multi_method
MCEMP1	likely	surface_yes	189.0	5	5	14	3	direct_single_method
MCHR1	canonical	surface_yes	263.0	25	23	17	5	direct_multi_method
MCHR2	canonical	surface_yes	272.0	15	8	14	4	direct_multi_method
MCOLN1	low	surface_yes	260.0	27	25	16	6	weak
MCOLN2	likely	surface_yes	200.0	15	12	16	6	direct_multi_method
MCOLN3	likely	surface_yes	214.0	18	16	19	6	direct_single_method
MDGA1	canonical	surface_yes	179.0	18	18	20	6	direct_multi_method
MDGA2	canonical	surface_yes	178.0	13	12	18	6	direct_multi_method
MEGF10	canonical	surface_yes	225.0	26	19	21	6	supportive_but_indirect
MEGF11	likely	surface_yes	133.0	5	4	15	6	supportive_but_indirect
MEGF8	canonical	surface_yes	217.0	8	7	16	6	supportive_but_indirect
MEGF9	canonical	surface_yes	155.0	4	2	14	5	supportive_but_indirect
MELTF	canonical	surface_yes	287.0	19	18	21	6	direct_multi_method
MEP1A	canonical	surface_yes	206.0	20	18	21	5	supportive_but_indirect
MEP1B	canonical	surface_yes	253.0	26	19	21	6	direct_multi_method
MERTK	canonical	surface_yes	327.0	33	28	19	5	direct_multi_method
MET	canonical	surface_yes	358.0	30	26	19	6	direct_multi_method
MFAP3L	low	surface_yes	134.0	0	0	12	6	weak
MFGE8	canonical	surface_yes	261.0	17	13	14	5	supportive_but_indirect
MFRP	likely	surface_yes	232.0	10	8	14	6	supportive_but_indirect
MFSD2A	canonical	surface_yes	248.0	30	27	18	6	direct_multi_method
MFSD2B	likely	surface_yes	136.0	12	11	15	5	direct_multi_method
MFSD6	canonical	surface_yes	144.0	8	8	14	5	direct_multi_method
MFSD6L	low	surface_yes	64.0	3	1	15	5	weak
MFSD8	low	surface_yes	208.0	9	8	13	6	direct_single_method
MGAM	likely	surface_yes	381.0	2	2	18	5	direct_single_method
MGAM2	low	surface_yes	213.0	1	1	14	5	weak
MICA	canonical	surface_yes	322.0	31	27	20	5	direct_multi_method
MICB	canonical	surface_yes	267.0	39	34	19	5	direct_multi_method
MILR1	canonical	surface_yes	170.0	8	7	17	5	direct_multi_method
MINAR1	low	surface_yes	141.0	3	1	17	4	weak
MINPP1	low	surface_yes	186.0	5	4	16	4	weak
MIP	likely	surface_yes	359.0	16	12	15	6	direct_multi_method
MLC1	low	surface_yes	331.0	7	5	17	5	weak
MLKL	likely	surface_yes	299.0	30	28	14	6	supportive_but_indirect
MLNR	canonical	surface_yes	171.0	19	17	14	5	direct_multi_method
MME	canonical	surface_yes	331.0	20	18	20	6	direct_multi_method
MMEL1	likely	surface_yes	316.0	3	2	16	7	weak
MMP14	canonical	surface_yes	270.0	34	31	21	5	direct_multi_method
MMP15	canonical	surface_yes	250.0	21	18	16	4	direct_multi_method
MMP16	canonical	surface_yes	253.0	21	17	17	6	direct_multi_method
MMP17	canonical	surface_yes	217.0	22	19	21	6	direct_multi_method
MMP2	low	surface_yes	352.0	30	21	15	5	weak
MMP23B	low	surface_yes	230.0	4	3	17	5	weak
MMP24	likely	surface_yes	334.0	8	5	16	4	direct_single_method
MMP25	canonical	surface_yes	237.0	17	15	21	5	direct_multi_method
MMP28	likely	surface_yes	242.0	17	16	18	5	supportive_but_indirect
MMP7	low	surface_yes	310.0	22	20	15	4	weak
MMP8	low	surface_yes	325.0	21	20	16	4	weak
MMP9	likely	surface_yes	358.0	23	19	16	4	supportive_but_indirect
MMRN1	likely	surface_yes	391.0	3	3	14	5	direct_single_method
MMRN2	likely	surface_yes		20	19	18	4	supportive_but_indirect
MOG	likely	surface_yes	331.0	14	12	16	6	direct_multi_method
MORF4L2	low	surface_yes	172.0	1	0	11	4	weak
MOSMO	canonical	surface_yes	165.0	5	5	15	5	supportive_but_indirect
MOSPD2	likely	surface_yes	127.0	11	10	15	4	direct_multi_method
MPEG1	likely	surface_yes	349.0	4	3	14	4	direct_single_method
MPIG6B	likely	surface_yes	189.0	16	13	17	5	direct_multi_method
MPL	canonical	surface_yes	265.0	26	20	16	6	direct_multi_method
MPO	low	surface_yes	380.0	10	9	14	5	weak
MPZ	likely	surface_yes	326.0	11	9	16	6	weak
MPZL1	canonical	surface_yes	187.0	24	23	20	7	direct_multi_method
MPZL2	canonical	surface_yes	300.0	5	5	15	5	direct_single_method
MPZL3	likely	surface_yes	117.0	6	5	16	6	direct_single_method
MR1	likely	surface_yes	261.0	32	31	20	6	direct_multi_method
MRAP	likely	surface_yes	327.0	4	3	14	3	weak
MRAP2	canonical	surface_yes	214.0	33	25	18	3	direct_multi_method
MRC1	canonical	surface_yes	368.0	32	28	19	6	direct_multi_method
